county,state,fips,2015,2016,2017,2018
Clay,nebraska,31035,259723,247177,291137,279423
Edwards,illinois,17047,269148,267365,288114,279804
Nuckolls,nebraska,31129,278855,260188,247791,279862
Hale,alabama,1065,280598,291003,285818,280041
Kane,utah,49025,260077,266590,277757,280325
Yalobusha,mississippi,28161,259213,263313,281879,280411
Braxton,west virginia,54007,294995,287681,280564,280470
LaMoure,north dakota,38045,236963,307707,186174,280936
Spink,south dakota,46115,291633,287736,295197,281485
Clearwater,minnesota,27029,271636,284044,276525,281698
Grayson,virginia,51077,280572,274649,275711,282546
Butler,nebraska,31023,355510,277823,268579,283009
Sierra,new mexico,35051,296633,305584,306440,283461
Atchison,missouri,29005,258623,326388,332268,283842
McCook,south dakota,46087,231602,274024,275659,284634
Vinton,ohio,39163,233406,262549,260163,284889
Toole,montana,30101,284825,294793,266288,285082
Schuyler,illinois,17169,271538,285042,286222,285717
Lake,oregon,41037,265971,284328,293838,286236
Lincoln,idaho,16063,219610,237248,261456,286254
Brooks,georgia,13027,288213,286397,276881,286906
Appomattox,virginia,51011,275525,276581,279439,286994
Dewey,oklahoma,40043,275075,285355,270449,287368
Polk,tennessee,47139,288706,272449,272205,287388
Dixon,nebraska,31051,278857,257784,281591,287658
Monroe,kentucky,21171,275501,278600,284461,287913
Kittson,minnesota,27069,248430,274211,255417,287951
Phillips,kansas,20147,266919,303256,294204,288179
Warren,indiana,18171,223006,267127,251395,288311
Calhoun,mississippi,28013,264964,302253,295725,288383
Scott,arkansas,5127,275104,266741,283220,288385
Menard,illinois,17129,267013,236933,250856,289134
Butte,south dakota,46019,299732,270726,281621,289151
Forest,wisconsin,55041,282427,281974,283508,289465
Shackelford,texas,48417,306506,268784,274939,289696
Valley,montana,30105,300720,297133,293109,290784
Towns,georgia,13281,277029,282042,277559,291115
Brule,south dakota,46015,300698,280069,281647,291223
Dickey,north dakota,38021,257245,290617,228929,292025
Dawes,nebraska,31045,321568,321374,298750,292301
Wayne,tennessee,47181,296375,273369,280453,292463
Harper,oklahoma,40059,263182,290250,281525,292756
Blackford,indiana,18009,267607,299424,297807,292995
Wichita,kansas,20203,292084,370792,260805,293066
Kingman,kansas,20095,339872,343470,287965,293554
Cleburne,alabama,1029,304126,295526,284999,294019
Washington,kentucky,21229,295355,288403,293354,294722
Atoka,oklahoma,40005,280839,290614,294804,295589
Carroll,missouri,29033,299136,351049,323532,295657
Lamar,alabama,1075,291779,288955,289482,296054
Casey,kentucky,21045,294882,293275,291641,296078
Musselshell,montana,30065,291074,266374,279761,296292
Adams,iowa,19003,283787,302511,280320,296386
Sanders,montana,30089,289670,289688,301982,296745
Andrew,missouri,29003,285234,301034,295044,296886
Polk,nebraska,31143,289229,259101,289352,297542
Benewah,idaho,16009,285691,287969,294088,297905
Union,tennessee,47173,266159,271565,291110,298006
Alfalfa,oklahoma,40003,423149,345852,314076,298710
Haskell,texas,48207,192651,211294,258137,298804
Oglala Lakota,south dakota,46102,277555,276358,285773,299072
Union,florida,12125,295420,301177,306038,299208
Blanco,texas,48031,287492,288614,296607,299571
Wilkes,georgia,13317,294034,298943,299166,299631
Gilliam,oregon,41021,296287,301584,280719,300239
Stonewall,texas,48433,287140,311694,321330,300714
Tripp,south dakota,46123,307836,256977,252497,302451
Harper,kansas,20077,329169,321105,300229,302643
Jefferson,florida,12065,301383,305566,307620,302750
Lane,kansas,20101,263064,258786,276917,302899
Dent,missouri,29065,299146,292913,293845,303430
Tillman,oklahoma,40141,267634,338088,334014,303769
Runnels,texas,48399,333931,295872,294661,303778
Clay,arkansas,5021,299759,289400,313160,304763
Kenedy,texas,48261,315528,278453,315603,305405
Martin,kentucky,21159,366207,355841,325430,305534
Morgan,ohio,39115,296701,289645,301273,305891
Crook,wyoming,56011,284537,262476,267750,307546
Bamberg,south carolina,45009,304064,307420,309752,308519
Teton,idaho,16081,252736,264624,278215,309013
Lake,colorado,8065,277307,266524,296883,309433
Sharp,arkansas,5135,327148,315495,314779,309809
Lucas,iowa,19117,286828,291041,289019,309877
Parke,indiana,18121,275653,322998,320926,310227
Ellis,oklahoma,40045,277578,280780,331455,310260
Schoolcraft,michigan,26153,285016,296606,310374,311523
Dooly,georgia,13093,284463,320309,307967,312341
Lawrence,mississippi,28077,336917,308941,307130,312487
Decatur,tennessee,47039,291189,297794,299614,313352
DeKalb,missouri,29063,283045,295147,325931,313421
McIntosh,oklahoma,40091,325487,311251,302841,313643
Hampshire,west virginia,54027,334042,325940,309021,314431
Sherman,texas,48421,588101,453877,471846,314943
Lawrence,kentucky,21127,411751,308179,302934,315702
Montgomery,missouri,29139,360634,346984,367230,315741
Weston,wyoming,56045,387259,321664,306033,315885
Jackson,kansas,20085,308980,303567,312302,316146
Kearny,kansas,20093,318782,319613,310724,317292
Bandera,texas,48019,316070,301003,307421,317383
Sterling,texas,48431,328219,335686,326006,317732
Benton,mississippi,28009,279023,317070,310266,317952
Cloud,kansas,20029,330892,346436,343603,317960
Cherry,nebraska,31031,438933,439218,372995,318031
Gem,idaho,16045,294247,301361,310248,319609
Iron,michigan,26071,308276,309604,312681,320439
Richardson,nebraska,31147,307177,315087,334147,321024
Moody,south dakota,46101,335782,362485,301736,321364
Warren,north carolina,37185,335188,327648,323076,323338
Holmes,florida,12059,325138,317913,334989,323671
Adair,iowa,19001,328347,315310,319374,324537
Clearwater,idaho,16035,334191,346251,319389,324971
Chester,tennessee,47023,309515,319530,319995,325061
Sumter,alabama,1119,353400,359431,335668,326706
Roberts,south dakota,46109,281164,288280,278537,327352
Stone,mississippi,28131,307796,317378,323235,327501
Henry,alabama,1067,312287,308340,320602,327713
Clay,kentucky,21051,330305,332107,331892,328743
Adair,kentucky,21001,334063,323124,321031,328768
Bradley,arkansas,5011,321127,313284,323897,330283
Screven,georgia,13251,303910,308010,314439,330384
Wilkin,minnesota,27167,283176,319226,297267,330518
Middlesex,virginia,51119,312420,312593,325243,331211
Floyd,texas,48153,275103,246891,335089,331475
McLean,kentucky,21149,286556,298483,318820,331604
Oglethorpe,georgia,13221,315311,326088,323714,331793
Fayette,alabama,1057,334480,325660,327225,331837
Torrance,new mexico,35057,332732,306881,309239,332211
Grant,minnesota,27051,326956,329385,285888,332796
Allendale,south carolina,45005,285756,308723,330976,333219
Benton,tennessee,47005,317344,317442,320424,333275
Franklin,idaho,16041,327753,329244,334880,333650
Haskell,oklahoma,40061,371424,346586,337507,334121
Fillmore,nebraska,31059,358645,319501,338053,334352
Lee,south carolina,45061,287895,324167,341262,335137
Worth,georgia,13321,317108,319232,327412,335248
Jefferson,kansas,20087,331104,332355,335171,335533
Boundary,idaho,16021,330236,323666,331655,336364
Hughes,oklahoma,40063,331154,318918,326243,336760
Keokuk,iowa,19107,330752,363479,297889,336881
Sussex,virginia,51183,343783,334938,337021,337619
Grant,louisiana,22043,329792,338160,338343,337955
Putnam,illinois,17155,323396,351440,348240,338034
Meade,kansas,20119,284711,311650,324555,338981
Franklin,florida,12037,326714,326130,331884,339243
Clay,alabama,1027,320213,315873,323580,339246
Todd,kentucky,21219,327143,317705,320630,340291
Russell,kansas,20167,284046,336766,338571,340325
San Jacinto,texas,48407,328488,332439,341352,341508
Marion,kansas,20115,364417,385259,338903,342297
Cumberland,illinois,17035,313014,308883,331514,343839
Calhoun,arkansas,5013,314529,305565,326112,344894
Pawnee,oklahoma,40117,327727,327337,333281,345675
Crosby,texas,48107,276867,320323,342222,346068
Wilson,kansas,20205,330042,332939,341281,347352
Appanoose,iowa,19007,357330,359058,358792,348067
Butler,kentucky,21031,330437,353326,356088,348093
Goliad,texas,48175,324593,315686,345439,348238
Evans,georgia,13109,340076,335816,339026,348274
Haskell,kansas,20081,410248,511287,396817,348946
Newton,indiana,18111,373196,352674,336006,349433
Essex,virginia,51057,342998,345539,342465,349564
Breckinridge,kentucky,21027,353258,333236,351063,349646
Benton,missouri,29015,369400,344125,339783,350835
Pierce,nebraska,31139,340410,306407,289167,350960
Madison,virginia,51113,382445,373604,348052,351765
Clinton,missouri,29049,357190,355037,376114,353171
Aleutians West Census Area,alaska,2016,371005,367795,347146,353175
Lincoln,minnesota,27081,327851,302976,285950,353748
Washington,missouri,29221,356789,344941,343531,353922
Berrien,georgia,13019,325527,327001,340702,354815
Lac qui Parle,minnesota,27073,318287,312404,275090,355101
Worth,iowa,19195,461492,372315,338045,356108
Caldwell,kentucky,21033,329034,342619,336463,356610
Johnston,oklahoma,40069,301013,326618,333660,356917
Gallatin,kentucky,21077,375762,387483,358545,357027
Bacon,georgia,13005,332628,351341,361434,357666
Washakie,wyoming,56043,405382,366053,353860,358104
Bottineau,north dakota,38009,327405,315255,288579,358288
Missaukee,michigan,26113,333150,336450,371743,358710
Stanton,nebraska,31167,327404,336697,352852,359343
Barton,missouri,29011,338959,364396,370620,359400
Grainger,tennessee,47057,315641,338987,350987,359429
Pembina,north dakota,38067,395027,352260,357025,359871
Brooks,texas,48047,421454,356810,373637,360775
Keith,nebraska,31101,361516,374487,335842,360919
Westmoreland,virginia,51193,345754,347614,348870,362088
Oldham,texas,48359,354364,383814,338867,362143
Amelia,virginia,51007,352318,348872,352723,362153
Wallowa,oregon,41063,349630,360479,377192,362181
Randolph,georgia,13243,307392,359271,361550,362963
Emmet,iowa,19063,459816,369340,417605,363045
Letcher,kentucky,21133,404839,356917,347871,363118
Wayne,kentucky,21231,361024,361242,360236,363684
Pershing,nevada,32027,329466,334099,387638,363785
Bibb,alabama,1007,358372,357831,353859,364197
Meigs,ohio,39105,370041,358481,356236,364284
Henry,kentucky,21103,364746,366756,358080,365170
Ralls,missouri,29173,347577,416899,394641,365560
Monona,iowa,19133,343507,399113,404898,366224
Cook,georgia,13075,316271,320322,341989,366696
Mississippi,missouri,29133,315642,378406,425127,367791
Wright,missouri,29229,364691,357398,359819,369051
Latimer,oklahoma,40077,483193,448427,393997,370132
Archer,texas,48009,368951,343639,351437,370542
Madison,north carolina,37115,359391,358964,366218,370832
Merrick,nebraska,31121,414485,397477,395731,370977
McCulloch,texas,48307,349458,316094,348038,371048
Hickman,tennessee,47081,346502,354972,358082,371426
Pierce,georgia,13229,337410,348060,361216,371570
Hardy,west virginia,54031,370471,369206,370044,373462
Brewster,texas,48043,354311,350778,352712,374005
Marshall,minnesota,27089,311684,360837,373461,374093
Marshall,south dakota,46091,280878,357977,322386,374220
Rolette,north dakota,38079,366967,353423,373961,374598
Kemper,mississippi,28069,441006,464355,409116,375017
Johnson,tennessee,47091,366293,368547,377301,375541
Dade,georgia,13083,335889,335398,345461,376102
Wabash,illinois,17185,350236,350747,373729,376181
Greene,illinois,17061,311613,335338,348085,377090
Gulf,florida,12045,362027,364695,376332,377644
Wilcox,alabama,1131,372273,379381,373667,378418
Little River,arkansas,5081,406071,396547,384516,378858
Madison,montana,30057,365472,363629,341436,382680
Owyhee,idaho,16073,379634,395649,379301,383126
Beaver,utah,49001,311156,326990,350722,383147
Saluda,south carolina,45081,362405,369376,380337,383486
Kanabec,minnesota,27065,360606,410940,409260,383613
Gilchrist,florida,12041,345889,362490,370035,384761
Montgomery,iowa,19137,398223,373573,388312,385816
Garza,texas,48169,392575,396636,394392,386173
Floyd,virginia,51063,385540,348385,361602,387241
Blaine,oklahoma,40011,380382,371722,381962,387582
Benzie,michigan,26019,361287,372819,375422,388078
Barbour,west virginia,54001,386089,370812,392656,388785
Marquette,wisconsin,55077,340192,341799,357576,388971
Jones,georgia,13169,392098,400382,415254,388998
Grant,arkansas,5053,375292,372803,378549,390516
Pickens,alabama,1107,407990,399004,389315,390766
Kit Carson,colorado,8063,318197,325292,331713,391520
Lincoln,colorado,8073,363542,374098,396871,391910
Hamilton,florida,12047,386469,370897,378169,392338
Madison,iowa,19121,374195,365884,370091,393017
Hamilton,kansas,20075,295990,336120,329800,393421
Lincoln,kentucky,21137,382469,395092,394834,393493
Beaverhead,montana,30001,492039,492895,459211,394127
Kearney,nebraska,31099,490509,435338,396763,394360
Mitchell,kansas,20123,390805,408844,413096,394383
Beaver,oklahoma,40007,334194,366518,403184,394575
Lamar,georgia,13171,384184,383838,385431,396516
Nome Census Area,alaska,2180,412660,380519,392868,396694
Love,oklahoma,40085,366583,384100,388888,396813
Traill,north dakota,38097,418394,409375,436391,397360
Jeff Davis,georgia,13161,378737,370049,386919,397699
Antelope,nebraska,31003,406389,477005,398641,397969
Falls,texas,48145,361665,378232,384311,397988
Presque Isle,michigan,26141,373275,393475,396078,398223
George,mississippi,28039,401617,385415,390533,398739
Bayfield,wisconsin,55007,360214,357846,364594,398994
Telfair,georgia,13271,390147,381779,391750,400242
Park,colorado,8093,349626,364585,383734,400803
Gasconade,missouri,29073,396016,388999,398145,401043
Cochran,texas,48079,402087,416709,456528,401268
Bates,missouri,29013,354155,390385,410271,401456
Choctaw,oklahoma,40023,470073,417288,422450,401704
Osage,missouri,29151,438171,398270,385016,401744
Burt,nebraska,31021,368574,372113,415813,401761
Fremont (includes Yellowstone National Park),idaho,16043,379529,391335,393074,402818
Linn,missouri,29115,371314,366828,367932,402930
Carter,kentucky,21043,407821,398748,398965,403150
Brown,illinois,17009,399933,387127,403323,403332
Marshall,illinois,17123,395690,453634,416978,403674
Johnson,kentucky,21115,419585,406733,408723,403777
Mercer,illinois,17131,412809,377800,420641,403854
Washington,idaho,16087,380153,411155,415826,404915
Lancaster,virginia,51103,394358,398050,402000,407646
Adair,oklahoma,40001,430694,424679,419065,408031
Crenshaw,alabama,1041,427983,403588,403510,408219
Arenac,michigan,26011,375044,384314,397930,409206
Grant,oklahoma,40053,363602,375589,430083,410720
Colfax,new mexico,35007,455729,450583,431526,411440
Madison,arkansas,5087,407009,390283,405857,411807
Yancey,north carolina,37199,348411,359684,364136,412309
Ray,missouri,29177,426439,409003,414913,413204
Lowndes,alabama,1085,414680,410956,415054,413334
Thomas,kansas,20193,395459,389736,414243,413995
Randolph,arkansas,5121,348243,367600,393806,415843
Linn,kansas,20107,482331,558987,387178,416339
Dawson,montana,30021,416305,383869,409521,416817
Grant,west virginia,54023,476701,488678,437365,416912
Fentress,tennessee,47049,407001,398768,408761,417004
Greene,iowa,19073,411558,418401,402151,417537
Howard,iowa,19089,454760,417916,391889,417568
Fergus,montana,30027,462286,411035,414492,418322
New Kent,virginia,51127,381714,397631,403267,418780
Watonwan,minnesota,27165,403067,407683,432482,418797
Power,idaho,16077,393130,360153,372306,419021
Clarke,iowa,19039,375228,372653,403686,421066
Benton,indiana,18007,363736,427764,406379,421798
Pemiscot,missouri,29155,470760,439050,401067,423612
Monroe,iowa,19135,393897,382638,388700,424160
Iron,missouri,29093,403518,384492,390388,424616
Caswell,north carolina,37033,410859,416791,422189,424740
Moniteau,missouri,29135,438433,370868,407806,425073
Patrick,virginia,51141,429869,421895,425417,426209
Randolph,alabama,1111,438364,415983,418763,427804
Caribou,idaho,16029,449688,473118,422832,427875
Macon,georgia,13193,426794,406269,428360,428881
Ida,iowa,19093,385707,378111,428877,429048
Lampasas,texas,48281,416814,412937,416145,429103
Texas,missouri,29215,443474,423906,421193,429362
Roosevelt,montana,30085,408871,437138,412112,429720
Allen,kentucky,21003,410211,422826,414250,429841
Kent,texas,48263,413451,425760,433248,429846
Glacier,montana,30035,416094,418265,367090,430957
Dodge,georgia,13091,426421,425942,429116,431156
Hampton,south carolina,45049,414872,422628,420689,431300
Winnebago,iowa,19189,473931,416167,436815,431395
Camp,texas,48063,428638,397897,403938,431406
Banks,georgia,13011,374857,376263,423761,432928
Brown,kansas,20013,435913,420295,416927,433017
Columbia,washington,53013,394024,406114,439302,433777
Pleasants,west virginia,54073,420367,417484,432719,434110
Tyler,texas,48457,476390,467929,444520,434587
Anderson,kentucky,21005,420867,419662,423735,434709
Aitkin,minnesota,27001,393204,398507,420128,435031
Rio Grande,colorado,8105,435710,439984,424683,435646
Alleghany,north carolina,37005,449382,452424,449034,435819
Meade,kentucky,21163,442904,447045,430697,435899
Duval,texas,48131,461497,423968,424967,436507
Craig,oklahoma,40035,460270,430893,424961,437043
Macon,alabama,1087,437082,437693,427667,437305
King William,virginia,51101,418688,424056,426047,437413
Castro,texas,48069,870206,602006,704404,438483
Johnson,wyoming,56019,545560,477812,463211,439009
Winn,louisiana,22127,439101,431826,440342,439900
Cross,arkansas,5037,437090,435801,439065,440941
Modoc,california,6049,433203,445488,426486,441800
Crawford,michigan,26039,364684,374857,419383,441864
Tishomingo,mississippi,28141,424797,428253,429222,442011
East Feliciana,louisiana,22037,415855,409005,425595,442954
Sitka City and Borough,alaska,2220,474614,430768,429859,443526
Jackson,louisiana,22049,487363,443072,448281,443556
Rice,kansas,20159,499523,431980,400403,443582
Humboldt,iowa,19091,475114,470312,443321,443824
Lawrence,arkansas,5075,377185,401118,419851,444009
Comanche,texas,48093,382919,401811,436484,445661
Putnam,georgia,13237,456284,427165,441597,445696
Franklin,texas,48159,410877,405561,422235,447719
Trimble,kentucky,21223,431601,435941,448918,447742
Union,illinois,17181,456061,480356,455045,448465
Attala,mississippi,28007,490049,479397,455513,448492
Cavalier,north dakota,38019,312546,390680,343051,448729
Adams,wisconsin,55001,436036,414439,435705,448796
Conecuh,alabama,1035,466177,464317,456696,449646
Newton,mississippi,28101,451610,441374,447035,449755
Madison,louisiana,22065,434753,446811,443243,449912
Harris,georgia,13145,406572,418466,433348,449959
Custer,montana,30017,521345,477042,472769,450836
Major,oklahoma,40093,489808,443652,436118,450856
Harrison,iowa,19085,479292,516804,446383,451315
Boone,nebraska,31011,473938,483654,476813,451375
Sibley,minnesota,27143,536878,526227,553090,451649
Morgan,missouri,29141,506167,469703,455483,453177
Assumption,louisiana,22007,439467,406603,438719,453858
Lee,virginia,51105,444477,452252,450937,453917
Smith,mississippi,28129,416777,427175,445269,454413
Grundy,missouri,29079,487494,471122,448490,454537
Valley,idaho,16085,405348,425180,451269,455186
Scott,virginia,51169,442923,431579,437264,455265
Starke,indiana,18149,404770,441163,459298,455392
Harrison,kentucky,21097,437267,458049,447737,455479
Giles,virginia,51071,466639,448052,441756,456058
Chickasaw,mississippi,28017,441586,441621,454364,456335
Guthrie,iowa,19077,465170,424237,427466,457313
Thayer,nebraska,31169,389113,356002,361089,458204
Phillips,arkansas,5107,480917,457899,444620,458421
Polk,north carolina,37149,462233,462178,452732,458682
Hamilton,illinois,17065,421809,350296,454792,460533
Mitchell,north carolina,37121,427726,427702,435652,461212
Cooper,missouri,29053,426891,450412,455168,461225
LaSalle,louisiana,22059,455339,445973,447162,462138
Sevier,arkansas,5133,449689,445428,448651,462219
Carroll,illinois,17015,486450,561679,530307,463346
Greene,virginia,51079,421196,450861,460261,465023
Gogebic,michigan,26053,441400,454835,451286,465509
Knox,nebraska,31107,436687,395837,383186,465611
Owen,indiana,18119,432365,449377,458010,465645
Tate,mississippi,28137,441282,445330,448717,465681
Rabun,georgia,13241,432129,441871,454254,466083
Shoshone,idaho,16079,608344,568106,451515,466589
Northampton,virginia,51131,502343,486627,467609,467069
Gladwin,michigan,26051,418032,426696,450326,468988
Wilkinson,georgia,13319,443774,445445,447175,469070
Grant,kentucky,21081,452276,470195,470354,469275
Wayne,nebraska,31179,436448,436045,475429,469606
Clarke,virginia,51043,452760,448246,463562,471328
Juab,utah,49023,427014,414182,422644,472695
Turner,south dakota,46125,482556,516793,499218,473095
Allen,kansas,20001,472585,445634,466896,474012
Bailey,texas,48017,474359,458610,516860,475400
Socorro,new mexico,35053,488248,480380,463697,476932
Piatt,illinois,17147,443287,424724,426637,477520
Burnett,wisconsin,55013,449575,446329,449308,477629
Nottoway,virginia,51135,478252,467630,468088,478813
Franklin,arkansas,5047,485328,455437,471660,479936
Chowan,north carolina,37041,448630,450951,471006,480691
Pike,missouri,29163,483516,534978,513480,481033
Ben Hill,georgia,13017,476982,480766,479336,481148
Lincoln,washington,53043,496262,487238,476369,481953
Madison,georgia,13195,437176,427933,458809,482010
Archuleta,colorado,8007,464385,481176,479089,482935
Tippah,mississippi,28139,469374,467917,472794,483157
Northumberland,virginia,51133,431274,444280,461966,483382
Koochiching,minnesota,27071,463739,477406,468341,483803
Elbert,colorado,8039,408333,423323,451766,484094
Taylor,west virginia,54091,472076,499030,495307,485305
Overton,tennessee,47133,434657,455777,470799,485920
Idaho,idaho,16049,435818,421114,437098,486206
Meriwether,georgia,13199,444867,462361,470015,486486
Itawamba,mississippi,28057,491718,490629,487338,486520
Wadena,minnesota,27159,484345,486690,487678,487209
Walsh,north dakota,38099,565198,448297,559783,487946
Northampton,north carolina,37131,484410,479657,481893,488283
Sutton,texas,48435,591057,509699,510276,489548
Madison,florida,12079,498633,475043,476908,489921
Dickenson,virginia,51051,522810,462556,510199,490047
Calhoun,iowa,19025,407984,460719,424002,490304
Winston,mississippi,28159,453129,461647,477111,490733
Washington,florida,12133,462189,470907,476861,491690
Lincoln,montana,30053,460973,467850,484824,491930
Marion,arkansas,5089,550764,486098,486441,494246
Greene,north carolina,37079,467207,491428,513928,494686
Unicoi,tennessee,47171,526456,472446,470222,494808
Osceola,iowa,19143,471602,456467,507733,495070
Franklin,indiana,18047,465677,470792,486509,495074
Franklin,louisiana,22041,427764,424804,430950,495366
Jones,texas,48253,511267,514141,514593,495732
Hutchinson,south dakota,46067,447503,447925,437351,497488
Cherokee,alabama,1019,484118,457675,461223,498013
Desha,arkansas,5041,505433,536213,495296,498045
Murray,oklahoma,40099,523173,472783,487694,498180
Marshall,oklahoma,40095,465337,437857,459906,498737
Faribault,minnesota,27043,489931,554910,513808,499879
Clear Creek,colorado,8019,639648,494493,509932,500533
Hart,kentucky,21099,482173,481915,493184,500613
Richland,louisiana,22083,493663,513581,501145,501952
Jersey,illinois,17083,508360,487948,493367,502115
Polk,arkansas,5113,500117,479843,490456,502922
Mitchell,texas,48335,542100,541563,530060,504203
Swift,minnesota,27151,515700,473803,478364,504392
Big Horn,wyoming,56003,534607,481940,496806,504665
Trinity,california,6105,451395,473471,492954,506794
Newton,texas,48351,499778,402663,470235,508661
Mills,iowa,19129,455279,465649,496136,508666
Neosho,kansas,20133,489913,488811,497669,510011
Lawrence,illinois,17101,527142,505490,516322,510953
Macon,tennessee,47111,506721,511058,542079,511236
San Juan,utah,49037,481178,495129,507185,511280
Leake,mississippi,28079,467266,439605,491035,512026
Price,wisconsin,55099,531722,540294,532534,512616
Park,montana,30067,479314,471381,497042,512732
Rusk,wisconsin,55107,492019,508721,535659,513247
Jefferson,georgia,13163,466444,489995,515230,514017
Grant,south dakota,46051,527752,523292,521161,514435
Swisher,texas,48437,522839,480407,540624,515381
Ramsey,north dakota,38071,592098,556916,550038,516137
Refugio,texas,48391,572250,530982,516840,516280
Hamilton,nebraska,31081,513844,519794,521786,516602
Claiborne,louisiana,22027,541167,498480,517085,517129
Washburn,wisconsin,55129,515058,515769,520085,517270
Geneva,alabama,1061,505054,513876,496140,519624
Pulaski,indiana,18131,495974,517389,541925,520074
Dallam,texas,48111,746969,584822,598179,520975
Red Willow,nebraska,31145,518555,504664,496919,521965
Prentiss,mississippi,28117,523853,514186,514036,522245
Houston,minnesota,27055,490083,488518,521471,523549
Grand,utah,49019,449621,468759,512421,523773
Scott,tennessee,47151,486078,487828,504414,524815
Gilpin,colorado,8047,505564,503282,552434,525142
Marion,south carolina,45067,500436,501489,505431,526593
Marshall,kansas,20117,528246,526565,533796,527146
Jackson,arkansas,5067,528349,533677,520962,528213
Palo Alto,iowa,19147,580810,487974,555354,528894
Crockett,tennessee,47033,509204,506464,524446,530071
Macon,missouri,29121,513401,522606,507967,530496
Pratt,kansas,20151,467479,458835,520955,530550
Page,iowa,19145,506121,506133,501767,531794
Abbeville,south carolina,45001,502241,518042,524320,532044
Morrill,nebraska,31123,648144,549997,541164,532896
Thurston,nebraska,31173,484273,490493,573107,533816
Piscataquis,androscoggin,23021,493508,495156,513749,534476
Swain,north carolina,37173,522380,520435,515112,534478
Platte,wyoming,56031,567865,563897,562111,535625
Union,iowa,19175,562082,541249,521452,535762
Fountain,indiana,18045,498302,517273,500903,536769
Kalkaska,michigan,26079,482327,484981,509196,537710
Nemaha,kansas,20131,503734,542556,545453,538363
Pocahontas,iowa,19151,654342,679430,501363,538662
Edgefield,south carolina,45037,522185,527593,542577,539275
Schuyler,new york,36097,554743,545913,538548,541201
Allamakee,iowa,19005,571989,593313,544488,541503
Covington,mississippi,28031,527110,484308,536472,541807
Cedar,iowa,19031,524823,505210,503107,544340
Stephens,texas,48429,563405,540730,562682,544689
Lee,georgia,13177,505533,522804,541501,546644
Choctaw,alabama,1023,531136,526604,505034,547773
Tama,iowa,19171,486404,513704,506975,548997
Chattooga,georgia,13055,525767,520846,537245,549226
Lake,south dakota,46079,502031,526433,507156,549295
Buckingham,virginia,51029,524228,520568,502298,550077
Yell,arkansas,5149,534662,517732,537493,550276
Nelson,virginia,51125,524377,524915,529369,550659
Clarendon,south carolina,45027,550313,549389,554610,551261
Louisa,iowa,19115,484209,476180,486571,551334
Cedar,nebraska,31027,541796,567325,555665,551518
Early,georgia,13099,537524,542826,545236,554226
Rush,indiana,18139,494096,541396,537833,554643
Buffalo,wisconsin,55011,464486,500613,478447,555108
Poinsett,arkansas,5111,529275,528857,541014,555990
Bond,illinois,17005,538723,505537,510397,556141
Clay,mississippi,28025,563056,588051,549126,556167
McDonald,missouri,29119,576944,517636,533146,556802
Jones,iowa,19105,568792,541093,548837,556983
Bourbon,kansas,20011,539898,539996,553521,558719
Russell,kentucky,21207,519194,509599,534487,558876
Waushara,wisconsin,55137,573189,541106,561708,560152
Antrim,michigan,26009,513450,512301,536896,560544
Butts,georgia,13035,496924,511615,546854,560604
Morrow,ohio,39117,600852,585433,534655,560880
Avery,north carolina,37011,539756,547967,551629,561233
Sullivan,pennsylvania,42113,518898,554689,639158,561999
Pope,minnesota,27121,509939,522044,529818,562130
Jasper,mississippi,28061,525755,498483,498057,562536
McDowell,west virginia,54047,552506,519673,573971,562653
Hardeman,tennessee,47069,541672,536119,546090,562953
Lawrence,alabama,1079,556342,518065,517319,563208
Jefferson,idaho,16051,527181,558225,549893,563537
Marshall,mississippi,28093,549802,514098,530464,566797
Ogemaw,michigan,26129,514152,502351,546851,567601
Jasper,illinois,17079,543385,515877,542544,568282
Harlan,kentucky,21095,608935,574442,569723,568852
Butler,alabama,1013,570113,554471,554848,570686
Livingston,missouri,29117,512689,588447,569660,570965
Concordia,louisiana,22029,514516,553930,550827,571467
Cheyenne,nebraska,31033,681303,696396,676239,572030
White,illinois,17193,607841,594068,597729,573158
Drew,arkansas,5043,570890,589264,571341,574589
Crawford,missouri,29055,553011,547414,551255,575031
Bertie,north carolina,37015,620038,581268,590907,575857
Box Butte,nebraska,31013,561815,562449,584892,576177
Knox,kentucky,21121,588773,583276,584762,577658
Mason,illinois,17125,468271,544718,579311,577815
Elbert,georgia,13105,560511,555429,563622,577880
Atchison,kansas,20005,541924,535508,567131,578478
Washington,georgia,13303,579470,562100,573325,580610
Stone,missouri,29209,579147,568143,573630,580730
Baker,oregon,41001,509371,529953,566364,580947
Roscommon,michigan,26143,537347,550260,563167,581803
Fayette,indiana,18041,537627,549131,556121,583073
Paulding,ohio,39125,553238,544632,535779,583138
Claiborne,mississippi,28021,748394,535073,598941,583666
Sherman,oregon,41055,628566,647210,655582,583912
Prowers,colorado,8099,562738,593064,541959,585362
Grant,kansas,20067,653812,815669,693589,585765
Hocking,ohio,39073,584489,589189,592438,586310
Wyoming,west virginia,54109,626895,559272,582370,587656
Cheboygan,michigan,26031,552905,566698,566697,588424
Clay,illinois,17025,626606,589274,586556,588562
San Miguel,new mexico,35047,607695,603167,588496,588905
Sac,iowa,19161,564822,539118,518523,589102
Chippewa,minnesota,27023,602555,567336,566988,589368
Webster,kentucky,21233,657131,592060,585389,590257
Lincoln,new mexico,35027,581182,579079,571364,590517
